 C_Mass(GeV)   N_Mass(GeV)    tau(ns)    Init_xs(fb)     EAxEE          TAxTE         EAxEExTAxTE      total_eff     xs100(fb)     xslim(fb)         Ntr          r       MCev 
    100.000     99.843         0.010      3125.192      6.2997e-02      1.3043e-05      8.2170e-07      4.0596e-07    1.269e-03     5.419e+05       4.58e-02    5.77e-03    24 
    100.000     99.843         0.015      3125.192      6.2997e-02      1.7775e-04      1.1198e-05      5.6171e-06    1.755e-02     3.917e+04       6.34e-01    7.98e-02    199 
    100.000     99.843         0.020      3125.192      6.2997e-02      4.7160e-04      2.9709e-05      1.4841e-05    4.638e-02     1.482e+04       1.67e+00    2.11e-01    555 
    100.000     99.843         0.025      3125.192      6.2997e-02      1.0774e-03      6.7870e-05      3.3787e-05    1.056e-01     6.511e+03       3.81e+00    4.80e-01    1170 
    100.000     99.843         0.030      3125.192      6.2997e-02      2.0008e-03      1.2605e-04      6.0631e-05    1.895e-01     3.628e+03       6.84e+00    8.61e-01    2140 
    100.000     99.843         0.040      3125.192      6.2997e-02      4.7224e-03      2.9749e-04      1.4139e-04    4.419e-01     1.556e+03       1.60e+01    2.01e+00    4729 
    100.000     99.843         0.050      3125.192      6.2997e-02      8.3947e-03      5.2885e-04      2.4960e-04    7.801e-01     8.814e+02       2.82e+01    3.55e+00    8215 
    100.000     99.843         0.060      3125.192      6.2997e-02      1.2753e-02      8.0340e-04      3.7813e-04    1.182e+00     5.818e+02       4.27e+01    5.37e+00    12202 
    100.000     99.843         0.070      3125.192      6.2997e-02      1.7515e-02      1.1034e-03      5.1624e-04    1.613e+00     4.262e+02       5.82e+01    7.33e+00    16628 
    100.000     99.843         0.080      3125.192      6.2997e-02      2.2299e-02      1.4048e-03      6.5480e-04    2.046e+00     3.360e+02       7.39e+01    9.30e+00    21032 
    100.000     99.843         0.090      3125.192      6.2997e-02      2.6908e-02      1.6951e-03      7.8766e-04    2.462e+00     2.793e+02       8.89e+01    1.12e+01    25633 
    100.000     99.843         0.100      3125.192      6.2997e-02      3.1688e-02      1.9963e-03      9.2761e-04    2.899e+00     2.372e+02       1.05e+02    1.32e+01    30206 
    100.000     99.843         0.150      3125.192      6.2997e-02      5.1615e-02      3.2516e-03      1.4997e-03    4.687e+00     1.467e+02       1.69e+02    2.13e+01    50724 
    100.000     99.843         0.200      3125.192      6.2997e-02      6.6105e-02      4.1644e-03      1.9132e-03    5.979e+00     1.150e+02       2.16e+02    2.72e+01    67872 
    100.000     99.843         0.250      3125.192      6.2997e-02      7.4519e-02      4.6945e-03      2.1470e-03    6.710e+00     1.025e+02       2.42e+02    3.05e+01    80485 
    100.000     99.843         0.300      3125.192      6.2997e-02      8.0416e-02      5.0660e-03      2.3056e-03    7.206e+00     9.542e+01       2.60e+02    3.28e+01    90828 
    100.000     99.843         0.400      3125.192      6.2997e-02      8.5678e-02      5.3975e-03      2.4439e-03    7.638e+00     9.002e+01       2.76e+02    3.47e+01    105273 
    100.000     99.843         0.500      3125.192      6.2997e-02      8.6924e-02      5.4759e-03      2.4654e-03    7.705e+00     8.924e+01       2.78e+02    3.50e+01    115320 
    100.000     99.843         0.600      3125.192      6.2997e-02      8.5489e-02      5.3856e-03      2.4142e-03    7.545e+00     9.113e+01       2.72e+02    3.43e+01    122014 
    100.000     99.843         0.700      3125.192      6.2997e-02      8.2929e-02      5.2243e-03      2.3340e-03    7.294e+00     9.426e+01       2.63e+02    3.32e+01    126641 
    100.000     99.843         0.800      3125.192      6.2997e-02      8.0345e-02      5.0615e-03      2.2560e-03    7.050e+00     9.752e+01       2.55e+02    3.20e+01    130332 
    100.000     99.843         0.900      3125.192      6.2997e-02      7.7254e-02      4.8668e-03      2.1625e-03    6.758e+00     1.017e+02       2.44e+02    3.07e+01    132943 
    100.000     99.843         1.000      3125.192      6.2997e-02      7.4167e-02      4.6723e-03      2.0691e-03    6.466e+00     1.063e+02       2.33e+02    2.94e+01    134615 
    100.000     99.843         1.500      3125.192      6.2997e-02      6.1509e-02      3.8749e-03      1.7020e-03    5.319e+00     1.293e+02       1.92e+02    2.42e+01    140185 
    100.000     99.843         2.000      3125.192      6.2997e-02      5.2083e-02      3.2811e-03      1.4323e-03    4.476e+00     1.536e+02       1.62e+02    2.03e+01    142415 
    100.000     99.843         2.500      3125.192      6.2997e-02      4.4872e-02      2.8268e-03      1.2309e-03    3.847e+00     1.787e+02       1.39e+02    1.75e+01    143508 
    100.000     99.843         3.000      3125.192      6.2997e-02      3.9176e-02      2.4680e-03      1.0713e-03    3.348e+00     2.054e+02       1.21e+02    1.52e+01    144149 
    100.000     99.843         4.000      3125.192      6.2997e-02      3.1699e-02      1.9970e-03      8.6438e-04    2.701e+00     2.545e+02       9.75e+01    1.23e+01    144896 
    100.000     99.843         5.000      3125.192      6.2997e-02      2.6493e-02      1.6690e-03      7.2170e-04    2.255e+00     3.048e+02       8.14e+01    1.03e+01    144970 
    100.000     99.843         6.000      3125.192      6.2997e-02      2.2548e-02      1.4204e-03      6.1103e-04    1.910e+00     3.600e+02       6.89e+01    8.68e+00    144751 
    100.000     99.843         7.000      3125.192      6.2997e-02      1.9759e-02      1.2448e-03      5.3575e-04    1.674e+00     4.106e+02       6.04e+01    7.61e+00    144759 
    100.000     99.843         8.000      3125.192      6.2997e-02      1.7720e-02      1.1163e-03      4.8129e-04    1.504e+00     4.571e+02       5.43e+01    6.84e+00    144656 
    100.000     99.843         9.000      3125.192      6.2997e-02      1.6019e-02      1.0091e-03      4.3358e-04    1.355e+00     5.074e+02       4.89e+01    6.16e+00    144697 
    100.000     99.843         10.000      3125.192      6.2997e-02      1.4632e-02      9.2175e-04      3.9731e-04    1.242e+00     5.537e+02       4.48e+01    5.64e+00    144661 
   200.000     199.843         0.010      250.637      1.5957e-01      2.9060e-06      4.6371e-07      1.8157e-07    4.551e-05     1.212e+06       1.64e-03    2.07e-04    11 
    200.000     199.843         0.015      250.637      1.5957e-01      1.7306e-05      2.7614e-06      1.2548e-06    3.145e-04     1.753e+05       1.14e-02    1.43e-03    76 
    200.000     199.843         0.020      250.637      1.5957e-01      5.9089e-05      9.4288e-06      3.8896e-06    9.749e-04     5.656e+04       3.52e-02    4.43e-03    239 
    200.000     199.843         0.025      250.637      1.5957e-01      1.8790e-04      2.9983e-05      1.3231e-05    3.316e-03     1.663e+04       1.20e-01    1.51e-02    707 
    200.000     199.843         0.030      250.637      1.5957e-01      4.3652e-04      6.9655e-05      3.0283e-05    7.590e-03     7.265e+03       2.74e-01    3.45e-02    1484 
    200.000     199.843         0.040      250.637      1.5957e-01      1.2858e-03      2.0517e-04      8.5730e-05    2.149e-02     2.566e+03       7.76e-01    9.77e-02    4104 
    200.000     199.843         0.050      250.637      1.5957e-01      2.7825e-03      4.4401e-04      1.8351e-04    4.600e-02     1.199e+03       1.66e+00    2.09e-01    8412 
    200.000     199.843         0.060      250.637      1.5957e-01      4.6845e-03      7.4750e-04      3.0664e-04    7.686e-02     7.175e+02       2.77e+00    3.49e-01    13902 
    200.000     199.843         0.070      250.637      1.5957e-01      7.1271e-03      1.1373e-03      4.6317e-04    1.161e-01     4.750e+02       4.19e+00    5.28e-01    21032 
    200.000     199.843         0.080      250.637      1.5957e-01      9.9769e-03      1.5920e-03      6.4143e-04    1.608e-01     3.430e+02       5.80e+00    7.31e-01    28561 
    200.000     199.843         0.090      250.637      1.5957e-01      1.3199e-02      2.1061e-03      8.4745e-04    2.124e-01     2.596e+02       7.67e+00    9.65e-01    37196 
    200.000     199.843         0.100      250.637      1.5957e-01      1.6522e-02      2.6365e-03      1.0555e-03    2.646e-01     2.084e+02       9.55e+00    1.20e+00    46206 
    200.000     199.843         0.150      250.637      1.5957e-01      3.3266e-02      5.3082e-03      2.1118e-03    5.293e-01     1.042e+02       1.91e+01    2.41e+00    92729 
    200.000     199.843         0.200      250.637      1.5957e-01      4.8610e-02      7.7567e-03      3.0807e-03    7.721e-01     7.141e+01       2.79e+01    3.51e+00    137847 
    200.000     199.843         0.250      250.637      1.5957e-01      6.0411e-02      9.6398e-03      3.8232e-03    9.582e-01     5.754e+01       3.46e+01    4.36e+00    176512 
    200.000     199.843         0.300      250.637      1.5957e-01      6.9215e-02      1.1045e-02      4.3782e-03    1.097e+00     5.025e+01       3.96e+01    4.99e+00    209541 
    200.000     199.843         0.400      250.637      1.5957e-01      8.0444e-02      1.2836e-02      5.0858e-03    1.275e+00     4.326e+01       4.60e+01    5.79e+00    260806 
    200.000     199.843         0.500      250.637      1.5957e-01      8.6242e-02      1.3762e-02      5.4436e-03    1.364e+00     4.041e+01       4.93e+01    6.20e+00    298361 
    200.000     199.843         0.600      250.637      1.5957e-01      8.8493e-02      1.4121e-02      5.5764e-03    1.398e+00     3.945e+01       5.05e+01    6.35e+00    324921 
    200.000     199.843         0.700      250.637      1.5957e-01      8.9005e-02      1.4203e-02      5.5995e-03    1.403e+00     3.929e+01       5.07e+01    6.38e+00    345903 
    200.000     199.843         0.800      250.637      1.5957e-01      8.7990e-02      1.4041e-02      5.5312e-03    1.386e+00     3.977e+01       5.00e+01    6.30e+00    362286 
    200.000     199.843         0.900      250.637      1.5957e-01      8.6578e-02      1.3815e-02      5.4292e-03    1.361e+00     4.052e+01       4.91e+01    6.19e+00    375112 
    200.000     199.843         1.000      250.637      1.5957e-01      8.4581e-02      1.3497e-02      5.2982e-03    1.328e+00     4.152e+01       4.79e+01    6.04e+00    384537 
    200.000     199.843         1.500      250.637      1.5957e-01      7.4131e-02      1.1829e-02      4.6124e-03    1.156e+00     4.770e+01       4.17e+01    5.25e+00    414335 
    200.000     199.843         2.000      250.637      1.5957e-01      6.4928e-02      1.0361e-02      4.0242e-03    1.009e+00     5.467e+01       3.64e+01    4.58e+00    426848 
    200.000     199.843         2.500      250.637      1.5957e-01      5.7354e-02      9.1520e-03      3.5461e-03    8.888e-01     6.204e+01       3.21e+01    4.04e+00    433825 
    200.000     199.843         3.000      250.637      1.5957e-01      5.1161e-02      8.1638e-03      3.1513e-03    7.898e-01     6.981e+01       2.85e+01    3.59e+00    437156 
    200.000     199.843         4.000      250.637      1.5957e-01      4.1983e-02      6.6992e-03      2.5763e-03    6.457e-01     8.540e+01       2.33e+01    2.94e+00    441210 
    200.000     199.843         5.000      250.637      1.5957e-01      3.5513e-02      5.6668e-03      2.1733e-03    5.447e-01     1.012e+02       1.97e+01    2.48e+00    442495 
    200.000     199.843         6.000      250.637      1.5957e-01      3.0868e-02      4.9257e-03      1.8866e-03    4.728e-01     1.166e+02       1.71e+01    2.15e+00    443337 
    200.000     199.843         7.000      250.637      1.5957e-01      2.7378e-02      4.3688e-03      1.6694e-03    4.184e-01     1.318e+02       1.51e+01    1.90e+00    443835 
    200.000     199.843         8.000      250.637      1.5957e-01      2.4371e-02      3.8889e-03      1.4865e-03    3.726e-01     1.480e+02       1.34e+01    1.69e+00    443703 
    200.000     199.843         9.000      250.637      1.5957e-01      2.2134e-02      3.5319e-03      1.3506e-03    3.385e-01     1.629e+02       1.22e+01    1.54e+00    443701 
    200.000     199.843         10.000      250.637      1.5957e-01      2.0157e-02      3.2165e-03      1.2281e-03    3.078e-01     1.791e+02       1.11e+01    1.40e+00    443797 
   300.000     299.843         0.010      51.113      1.5073e-01      0.0000e+00      0.0000e+00      0.0000e+00    0.000e+00     nan       0.00e+00    0.00e+00    0 
    300.000     299.843         0.015      51.113      1.5073e-01      1.2115e-06      1.8261e-07      1.1797e-07    6.030e-06     1.865e+06       2.18e-04    2.74e-05    7 
    300.000     299.843         0.020      51.113      1.5073e-01      1.1952e-05      1.8016e-06      1.0527e-06    5.380e-05     2.090e+05       1.94e-03    2.45e-04    80 
