 C_Mass(GeV)   N_Mass(GeV)    tau(ns)    Init_xs(fb)     EAxEE          TAxTE         EAxEExTAxTE      total_eff     xs100(fb)     xslim(fb)         Ntr          r       MCev 
   100.000     99.843         0.010      214.167      7.2027e-02      3.7548e-05      2.7045e-06      1.5294e-06    3.275e-04     1.438e+05       1.18e-02    1.49e-03    603 
    100.000     99.843         0.015      214.167      7.2027e-02      2.4633e-04      1.7742e-05      9.7897e-06    2.097e-03     2.247e+04       7.57e-02    9.53e-03    3509 
    100.000     99.843         0.020      214.167      7.2027e-02      7.8023e-04      5.6198e-05      3.1103e-05    6.661e-03     7.073e+03       2.40e-01    3.03e-02    10311 
    100.000     99.843         0.025      214.167      7.2027e-02      1.7560e-03      1.2648e-04      6.9484e-05    1.488e-02     3.166e+03       5.37e-01    6.76e-02    21957 
    100.000     99.843         0.030      214.167      7.2027e-02      3.1605e-03      2.2765e-04      1.2367e-04    2.649e-02     1.779e+03       9.56e-01    1.20e-01    37971 
    100.000     99.843         0.040      214.167      7.2027e-02      7.0826e-03      5.1014e-04      2.7505e-04    5.891e-02     7.999e+02       2.13e+00    2.68e-01    81619 
    100.000     99.843         0.050      214.167      7.2027e-02      1.2112e-02      8.7240e-04      4.6709e-04    1.000e-01     4.710e+02       3.61e+00    4.55e-01    136332 
    100.000     99.843         0.060      214.167      7.2027e-02      1.7700e-02      1.2749e-03      6.7872e-04    1.454e-01     3.241e+02       5.25e+00    6.61e-01    196645 
    100.000     99.843         0.070      214.167      7.2027e-02      2.3697e-02      1.7069e-03      9.0521e-04    1.939e-01     2.430e+02       7.00e+00    8.81e-01    262247 
    100.000     99.843         0.080      214.167      7.2027e-02      2.9487e-02      2.1238e-03      1.1242e-03    2.408e-01     1.957e+02       8.69e+00    1.09e+00    326462 
    100.000     99.843         0.090      214.167      7.2027e-02      3.5119e-02      2.5295e-03      1.3350e-03    2.859e-01     1.648e+02       1.03e+01    1.30e+00    390291 
    100.000     99.843         0.100      214.167      7.2027e-02      4.0417e-02      2.9112e-03      1.5349e-03    3.287e-01     1.433e+02       1.19e+01    1.49e+00    452947 
    100.000     99.843         0.150      214.167      7.2027e-02      6.1604e-02      4.4371e-03      2.3250e-03    4.979e-01     9.462e+01       1.80e+01    2.26e+00    724004 
    100.000     99.843         0.200      214.167      7.2027e-02      7.4865e-02      5.3923e-03      2.8149e-03    6.029e-01     7.816e+01       2.18e+01    2.74e+00    929316 
    100.000     99.843         0.250      214.167      7.2027e-02      8.2341e-02      5.9308e-03      3.0847e-03    6.606e-01     7.132e+01       2.38e+01    3.00e+00    1082444 
    100.000     99.843         0.300      214.167      7.2027e-02      8.6249e-02      6.2123e-03      3.2232e-03    6.903e-01     6.826e+01       2.49e+01    3.14e+00    1198195 
    100.000     99.843         0.400      214.167      7.2027e-02      8.8625e-02      6.3835e-03      3.2942e-03    7.055e-01     6.678e+01       2.55e+01    3.21e+00    1357928 
    100.000     99.843         0.500      214.167      7.2027e-02      8.7242e-02      6.2838e-03      3.2300e-03    6.918e-01     6.811e+01       2.50e+01    3.14e+00    1460185 
    100.000     99.843         0.600      214.167      7.2027e-02      8.4284e-02      6.0708e-03      3.1097e-03    6.660e-01     7.075e+01       2.40e+01    3.03e+00    1528079 
    100.000     99.843         0.700      214.167      7.2027e-02      8.0632e-02      5.8077e-03      2.9657e-03    6.352e-01     7.418e+01       2.29e+01    2.89e+00    1576015 
    100.000     99.843         0.800      214.167      7.2027e-02      7.7305e-02      5.5681e-03      2.8360e-03    6.074e-01     7.758e+01       2.19e+01    2.76e+00    1612785 
    100.000     99.843         0.900      214.167      7.2027e-02      7.3755e-02      5.3123e-03      2.7004e-03    5.783e-01     8.147e+01       2.09e+01    2.63e+00    1636776 
    100.000     99.843         1.000      214.167      7.2027e-02      7.0353e-02      5.0674e-03      2.5707e-03    5.506e-01     8.558e+01       1.99e+01    2.50e+00    1656418 
    100.000     99.843         1.500      214.167      7.2027e-02      5.6672e-02      4.0819e-03      2.0563e-03    4.404e-01     1.070e+02       1.59e+01    2.00e+00    1708785 
    100.000     99.843         2.000      214.167      7.2027e-02      4.7239e-02      3.4025e-03      1.7063e-03    3.654e-01     1.289e+02       1.32e+01    1.66e+00    1728055 
