# mgluino (GeV), width (GeV), limit (pb)
1400.000000,2.19404e-13,0.744579
1400.000000,6.58212e-14,0.020907
1400.000000,1.64553e-14,0.003440
1400.000000,6.58212e-15,0.002462
1400.000000,6.58212e-16,0.003937
1400.000000,2.19404e-16,0.007705
1400.000000,6.58212e-17,0.029013
1400.000000,2.68242e-17,0.089383
2000.000000,6.58212e-14,0.064478
2000.000000,1.64553e-14,0.004862
2000.000000,6.58212e-15,0.002953
2000.000000,6.58212e-16,0.003785
2000.000000,2.19404e-16,0.005922
2000.000000,6.58212e-17,0.020476
2000.000000,2.68242e-17,0.060677
