# mgluino,mneutralino, limit(pb)
1400.0,100.0,0.000248012
1400.0,200.0,0.000246919
1400.0,400.0,0.00025695
1400.0,600.0,0.000271105
1400.0,800.0,0.000287749
1400.0,1000.0,0.000392708
1400.0,1200.0,0.00104688
1400.0,1270.0,0.00205158
1400.0,1300.0,0.00393658
1400.0,1320.0,0.0062396
1400.0,1350.0,0.0297399
1400.0,1370.0,0.654501
2000.0,100.0,0.000209641
2000.0,200.0,0.000210608
2000.0,400.0,0.000207873
2000.0,600.0,0.000206732
2000.0,800.0,0.000217254
2000.0,1000.0,0.00022629
2000.0,1200.0,0.000236727
2000.0,1400.0,0.000270689
2000.0,1600.0,0.000362296
2000.0,1800.0,0.0009819
2000.0,1870.0,0.00193214
2000.0,1900.0,0.0037846
