#            mhscp               ctau              width        SR2FULL_350
     5.0000000e+01      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.9732700e-22      1.0000000e+06      0.0000000e+00
     7.5000000e+01      1.0000000e+99      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.9732700e-22      1.0000000e+06      0.0000000e+00
     1.0000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     1.2500000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     1.2500000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     1.5000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     1.5000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     1.7500000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     1.7500000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     2.0000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     2.0000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     2.2500000e+02      1.0000000e+99      0.0000000e+00      5.6687081e-22
     2.2500000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     2.5000000e+02      1.0000000e+99      0.0000000e+00      7.6104452e-12
     2.5000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     2.7500000e+02      1.0000000e+99      0.0000000e+00      1.0840291e-06
     2.7500000e+02      3.9465400e+02      5.0000000e-19      1.0301460e-06
     2.7500000e+02      6.1664687e+01      3.2000000e-18      7.8621093e-07
     2.7500000e+02      1.9732700e+01      1.0000000e-17      4.1196255e-07
     2.7500000e+02      8.9694091e+00      2.2000000e-17      1.4526958e-07
     2.7500000e+02      6.1664687e+00      3.2000000e-17      6.5754815e-08
     2.7500000e+02      4.2897174e+00      4.6000000e-17      2.3751248e-08
     2.7500000e+02      2.9018676e+00      6.8000000e-17      5.6810278e-09
     2.7500000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     3.0000000e+02      1.0000000e+99      0.0000000e+00      4.2180156e-04
     3.0000000e+02      3.9465400e+02      5.0000000e-19      4.0051401e-04
     3.0000000e+02      6.1664687e+01      3.2000000e-18      3.0437670e-04
     3.0000000e+02      1.9732700e+01      1.0000000e-17      1.5787286e-04
     3.0000000e+02      8.9694091e+00      2.2000000e-17      5.4764125e-05
     3.0000000e+02      6.1664687e+00      3.2000000e-17      2.4481932e-05
     3.0000000e+02      4.2897174e+00      4.6000000e-17      8.7010034e-06
     3.0000000e+02      2.9018676e+00      6.8000000e-17      2.0293612e-06
     3.0000000e+02      1.9732700e+00      1.0000000e-16      3.2166470e-07
     3.0000000e+02      1.3155133e+00      1.5000000e-16      2.9153854e-08
     3.0000000e+02      8.9694091e-01      2.2000000e-16      2.0590716e-09
     3.0000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
