#            mhscp              mprod               ctau              width        SR1FULL_825
     5.0000000e+01      1.0000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     6.0000000e+02      9.0000000e+02      1.0000000e+99      0.0000000e+00      1.9915737e-05
     3.5000000e+03      3.6000000e+03      1.0000000e+99      0.0000000e+00      3.5659785e-04
     6.0000000e+02      9.0000000e+02      3.9465400e+02      5.0000000e-19      1.8905544e-05
     3.5000000e+03      3.6000000e+03      3.9465400e+02      5.0000000e-19      3.4390715e-04
     6.0000000e+02      9.0000000e+02      6.1664687e+01      3.2000000e-18      1.4490407e-05
     3.5000000e+03      3.6000000e+03      6.1664687e+01      3.2000000e-18      2.8803460e-04
     3.5000000e+03      3.6000000e+03      1.9732700e+01      1.0000000e-17      1.9432097e-04
     6.0000000e+02      9.0000000e+02      8.9694091e+00      2.2000000e-17      3.5368101e-06
     6.0000000e+02      9.0000000e+02      6.1664687e+00      3.2000000e-17      1.9270151e-06
     6.0000000e+02      9.0000000e+02      4.2897174e+00      4.6000000e-17      8.6850123e-07
     6.0000000e+02      9.0000000e+02      2.9018676e+00      6.8000000e-17      2.6253760e-07
     6.0000000e+02      9.0000000e+02      1.9732700e+00      1.0000000e-16      4.9093168e-08
     6.0000000e+02      9.0000000e+02      1.3155133e+00      1.5000000e-16      3.9645738e-09
     3.5000000e+03      3.6000000e+03      8.9694091e-01      2.2000000e-16      6.1846546e-10
     3.5000000e+03      3.6000000e+03      1.3155133e+00      1.5000000e-16      3.8260937e-08
     3.5000000e+03      3.6000000e+03      1.9732700e+00      1.0000000e-16      7.8785656e-07
     3.5000000e+03      3.6000000e+03      2.9018676e+00      6.8000000e-17      5.6648994e-06
     3.5000000e+03      3.6000000e+03      4.2897174e+00      4.6000000e-17      2.2242674e-05
     5.0000000e+01      1.0000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     5.0000000e+01      1.0000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     6.0000000e+02      9.0000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     6.5000000e+02      1.0000000e+03      1.0000000e+99      0.0000000e+00      4.8523988e-04
     3.5000000e+03      3.6000000e+03      1.9732700e-22      1.0000000e+06      0.0000000e+00
     6.5000000e+02      1.0000000e+03      3.9465400e+02      5.0000000e-19      4.6144359e-04
     3.5000000e+03      3.6500000e+03      3.9465400e+02      5.0000000e-19      2.4608069e-04
     3.5000000e+03      3.6500000e+03      1.0000000e+99      0.0000000e+00      2.5485481e-04
     6.5000000e+02      1.0000000e+03      6.1664687e+01      3.2000000e-18      3.5687219e-04
     3.5000000e+03      3.6500000e+03      6.1664687e+01      3.2000000e-18      2.0688164e-04
     3.5000000e+03      3.6500000e+03      1.9732700e+01      1.0000000e-17      1.3911277e-04
     6.5000000e+02      1.0000000e+03      8.9694091e+00      2.2000000e-17      9.0035085e-05
     6.5000000e+02      1.0000000e+03      6.1664687e+00      3.2000000e-17      4.9286301e-05
     6.5000000e+02      1.0000000e+03      4.2897174e+00      4.6000000e-17      2.2252362e-05
     6.5000000e+02      1.0000000e+03      2.9018676e+00      6.8000000e-17      6.7216008e-06
     6.5000000e+02      1.0000000e+03      1.9732700e+00      1.0000000e-16      1.2537300e-06
     6.5000000e+02      1.0000000e+03      1.3155133e+00      1.5000000e-16      1.0099493e-07
     6.5000000e+02      1.0000000e+03      8.9694091e-01      2.2000000e-16      3.6918043e-09
     3.5000000e+03      3.6500000e+03      8.9694091e-01      2.2000000e-16      4.0774380e-10
     3.5000000e+03      3.6500000e+03      1.3155133e+00      1.5000000e-16      2.6458884e-08
     3.5000000e+03      3.6500000e+03      1.9732700e+00      1.0000000e-16      5.5314680e-07
     3.5000000e+03      3.6500000e+03      2.9018676e+00      6.8000000e-17      3.9839007e-06
     3.5000000e+03      3.6500000e+03      4.2897174e+00      4.6000000e-17      1.5642542e-05
     5.0000000e+01      1.0000000e+03      1.9732700e-22      1.0000000e+06      0.0000000e+00
     5.0000000e+01      1.2500000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     6.5000000e+02      1.0000000e+03      1.9732700e-22      1.0000000e+06      0.0000000e+00
     6.5000000e+02      1.2500000e+03      1.0000000e+99      0.0000000e+00      5.8285537e-04
     3.5000000e+03      3.6500000e+03      1.9732700e-22      1.0000000e+06      0.0000000e+00
     6.5000000e+02      1.2500000e+03      3.9465400e+02      5.0000000e-19      5.5758374e-04
     3.5000000e+03      3.7000000e+03      3.9465400e+02      5.0000000e-19      2.6475605e-04
