#: table_doi: 10.17182/hepdata.86565.v1/t29
#: name: Table 28
#: description: Resolution and average of reconstructed ToF mass for a given simulated mass for ID+calo candidates.
#: data_file: data28.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO | P P --> SQUARK+ SQUARK- | P P --> STAU+ STAU- | P P --> CHI+ CHI-
#: keyword observables: M
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY | LLP
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],,,13000.0
TRUE MASS [GEV],TRUE MASS [GEV] LOW,TRUE MASS [GEV] HIGH,RECO MASS [GEV],error +,error -
400.0,300.0,500.0,445.001,55.714,-55.714
600.0,500.0,700.0,642.917,90.632,-90.632
800.0,700.0,900.0,841.273,136.715,-136.715
1000.0,900.0,1100.0,1056.925,199.178,-199.178
1200.0,1100.0,1300.0,1238.484,274.593,-274.593
1400.0,1300.0,1500.0,1464.112,341.323,-341.323
1600.0,1500.0,1700.0,1598.498,411.184,-411.184
1800.0,1700.0,1900.0,1835.446,483.132,-483.132
2000.0,1900.0,2100.0,1971.160,504.600,-504.600
2200.0,2100.0,2300.0,1982.438,529.988,-529.988
2400.0,2300.0,2500.0,2193.124,613.706,-613.706
2600.0,2500.0,2700.0,2249.020,712.573,-712.573
2800.0,2700.0,2900.0,2355.057,741.053,-741.053
3000.0,2900.0,3100.0,2355.971,727.572,-727.572

