#                prod                mhscp              mrec000 
                  526                  400       0.352488698283 
                 2453                  500      0.0288871489946 
                 2692                 1500       0.203038319674 
                  552                  500       0.366546597545 
                 3577                  400    0.000179123529898 
                 1796                 1500       0.229670730815 
                 4239                 3500      0.0228280713748 
                 2953                 2000       0.135436969898 
                  494                  200       0.224591680188 
                  736                  600       0.395494997427 
                  488                  250       0.292154359368 
                  235                  100       0.125407445196 
                 1348                 1000       0.409003084708 
                 2124                 2000       0.156213387048 
                 5100                  100                  0.0 
                 1086                  550       0.377310415102 
                  710                  350       0.331772515878 
                  251                  150       0.216617268563 
                  449                  400       0.344863724177 
                 2032                 2000        0.16206934916 
                 2765                 1600       0.202390112761 
                 3589                 3500      0.0289344114291 
                 1199                 1100       0.391516609543 
                 1581                 1100       0.400446295892 
                 1490                  200     0.00380502988957 
                  788                  500       0.391436077695 
                 3019                 1000       0.170675718373 
                 1266                  450       0.237519850939 
                 3623                 1300       0.156602142913 
                  350                  150       0.199783999472 
                 1405                 1400       0.290761201569 
                 1429                 1400       0.284712841349 
                  477                  350       0.342478681742 
                 2629                  150    2.56227777908e-05 
                 2432                 2200      0.0998384314162 
                 5100                 1600      0.0499042460874 
                 2234                 2200       0.106739991398 
                 4307                 1600       0.115910460644 
                  425                  400       0.354036311723 
                  309                  200       0.264538928816 
                 1711                  500       0.146219633885 
                 4297                  300    4.60237263747e-05 
                  155                  150       0.190937802039 
                 2972                  550      0.0134426951969 
                  626                  600       0.402195973301 
                  575                  450       0.373594163796 
                 5100                  450    5.98865332455e-05 
                 2748                 2400      0.0685982944092 
                 4303                 1800       0.133974221201 
                 2539                  800       0.170377055498 
                 1928                 1800       0.214924019753 
                 3881                 2400      0.0606734402181 
                 2855                 2600      0.0627676920654 
                 1028                 1000       0.416456804738 
                 2474                  700       0.124135735267 
                 1909                  100    5.36646831029e-06 
                 2433                 2400      0.0735903516936 
                 4357                 2200      0.0761177838926 
                  418                  150       0.166621628872 
                 2268                  100    1.92795028008e-06 
                  284                  100       0.107360927222 
                  420                  250       0.306122453955 
                 5100                 2000      0.0753009293222 
                  576                  550         0.3991826328 
                  607                  150      0.0786114432633 
                  503                  150       0.122453500286 
                 4270                  800     0.00397094429847 
                  346                  100      0.0812927564198 
                 1987                 1100       0.372388216866 
                 3595                  450    0.000288418650381 
                 4262                  550    0.000250661646317 
                  627                  100      0.0151519286958 
                 1397                  900       0.423167023938 
                  399                  350       0.333472124978 
                  612                  350       0.343668072962 
                  794                  700       0.398090478818 
                  482                  400       0.348403430914 
                 5100                 4000      0.0125012755504 
                 1237                  200      0.0144203665778 
                 2686                  100    6.93015386491e-08 
                  886                  150      0.0198223555325 
                 1443                 1100       0.397948821034 
                 2749                 2200      0.0947546330907 
                 1262                 1200       0.386210873389 
                  958                  900       0.418471757876 
                 1904                 1000       0.379817723964 
                 1473                 1300       0.350228374093 
                 1187                  250      0.0478348917645 
                 2372                 1500       0.218055332433 
                 3075                 1100       0.196142727504 
                 3062                  200    4.79660835604e-05 
                 1871                 1800        0.21922114829 
                 3580                 1200       0.146481109174 
                  988                  350       0.223944548153 
                 1005                 1000       0.422734615372 
                 3183                 1800       0.177118798619 
                 2947                  500     0.00765710073287 
                 4316                  200    1.49126815621e-07 
                  515                  100      0.0291249288239 
                 3667                 1400       0.147547316674 
                  727                  700       0.408790018774 
                 5100                  500     0.00013053619705 
                 2681                 2600      0.0652179056425 
                 5100                 2600      0.0638294894599 
                 2750                 2600      0.0632771223229 
                 1306                  600       0.351929736132 
                  536                  350       0.347134291092 
                 3538                 3500      0.0303891586092 
                 4289                 1100      0.0394961317711 
                  244                  200       0.247454492958 
                 1329                 1300       0.360498177127 
                  805                  450       0.378169508572 
                 3593                  250    1.89386605043e-07 
                  499                  450       0.364987050305 
                 4602                 3500       0.023692515649 
                 2147                  200    0.000107133355633 
                 2464                  350     0.00238745882442 
                 4281                 1500       0.101398804605 
                  761                  100     0.00626471528948 
                  105                  100       0.086726778006 
                 1132                  600       0.390689953233 
                 1659                 1400       0.274745091324 
                 2453                 1600       0.212720968373 
                 1304                  700       0.404314349091 
                  205                  200        0.24902407932 
                  921                  700       0.412686959333 
                 1755                 1200       0.386705914814 
                  836                  550       0.402417205006 
                  893                  800       0.409980323285 
                 3540                  700      0.0144944911182 
                 1546                  150    0.000391120872394 
                 1287                  150     0.00205558215323 
                 5100                  350    4.83271833787e-05 
                 1376                 1200       0.376753682621 
                 1261                  550       0.331162330892 
                  164                  100       0.112141453899 
                 5005                 5000     0.00221695731348 
                 4358                 2000        0.11013767968 
                 2205                 2200       0.105791974265 
                 2069                 2000       0.161169118713 
                 2012                 1800       0.214313978731 
                 1205                 1200       0.396383758048 
                  575                  250       0.260597758569 
                 1764                  700       0.299082599609 
                 2564                 1000       0.258472546176 
                  848                  700       0.405398781306 
                 3579                  600     0.00387143375989 
                 2125                 1500        0.22366428291 
                  173                  150       0.190811553547 
                  702                  500       0.389183232609 
                 5100                  200                  0.0 
                 1254                  900       0.417823201098 
                  357                  200       0.271816976694 
                  602                  550       0.385118543697 
                  305                  300       0.313590494728 
                 1591                 1200       0.383248208999 
                 3163                 3000       0.048818836939 
                  526                  500       0.383671895544 
                 1078                  450       0.307453648378 
                 3147                 1400       0.193030286514 
                  346                  300       0.308502674931 
                  272                  200       0.254824086779 
                 2117                  600       0.132740352131 
                 2116                  450      0.0413499478925 
                 1738                  400      0.0654378523894 
                 4227                 4000      0.0143422957965 
                 5100                  250     2.8451314936e-08 
                  327                  250       0.292609164775 
                 2503                  250    6.48560426673e-05 
                 1336                  100    6.14288956216e-05 
                 1777                  450      0.0929431650685 
                 4273                  600    0.000283536071123 
                 2115                  300     0.00351423491909 
                 1728                  250     0.00477070545472 
                  946                  550       0.398293623763 
                  687                  600       0.390365320897 
                 3541                  500    0.000937904038629 
                 2964                  350    0.000322573796012 
                 1605                 1600       0.237361861793 
                  324                  300       0.316434567228 
                 3469                 2400      0.0607862854685 
                 2317                 2000       0.151323246279 
                 1566                 1500       0.236901030051 
                  295                  150       0.220894204753 
                 1229                  300      0.0831132160656 
                 1105                 1100       0.414616136557 
                 1496                  450       0.161118988206 
                 1891                 1600       0.221547728212 
                 2512                 1800       0.202640815067 
                 5100                 1500      0.0351820470019 
                  660                  400       0.367660935102 
                  884                  600       0.408529503791 
                 5100                  300    2.13803738748e-07 
                 1631                 1600        0.23578298306 
                 2197                 1000       0.330660525181 
                 1480                  550       0.267073793355 
                 2242                 1200       0.347125780713 
                 4266                  350    6.38125045053e-05 
                 4749                 4500     0.00543163710711 
                 2339                 2200       0.101430303258 
                  140                  100      0.0986148378526 
                 4261                 1200      0.0631705281787 
                 3103                 1500       0.181144057381 
                 4417                 2600      0.0593728254481 
                  731                  300       0.262819653996 
                 3037                 3000      0.0513735144511 
                  584                  400       0.368408055732 
                 3164                 1600       0.185332415039 
                 4579                 4500     0.00758327642504 
                 1789                 1600       0.222448352934 
                  432                  350       0.329264328249 
                 1128                 1100       0.405452326022 
                  377                  300       0.317618015874 
                 5100                  700    0.000246602455989 
                 3169                  100    2.54555522597e-05 
                 5100                 1100     0.00336077264699 
                 1583                  900       0.410873969578 
                 1531                 1500       0.242959415294 
                 4342                  150                  0.0 
                 1821                  900       0.375881335741 
                 2053                 1300       0.337537883374 
                 4276                  400    6.03362578606e-05 
                  852                  200      0.0689285677795 
                 2028                 1600       0.224308868973 
                  633                  450       0.374885674492 
                 5100                 2200      0.0633293415016 
                  623                  300       0.304700269256 
                 2473                 2400      0.0736630365353 
                  537                  300       0.327254876367 
                  755                  700       0.402082703726 
                 1408                 1300       0.345802523762 
                  255                  250       0.298358412528 
                 3538                  900      0.0628612012515 
                 1069                  150      0.0079068528461 
                  588                  500       0.378020281951 
                 1143                  700       0.418292392081 
                 4688                 4000      0.0121833645684 
                 1472                  300       0.039296460801 
                 2156                  800        0.25876536161 
                 3725                  100                  0.0 
                 3005                 2600      0.0618424321542 
                 2081                  400      0.0242781526354 
                 2955                  700       0.054095083757 
                 5100                  900    0.000800582126413 
                 1309                 1200       0.378926125876 
                 3280                 3000      0.0459669610473 
                  864                  300       0.205834809925 
                 1789                  600       0.214804837564 
                 5100                  600    0.000112385293761 
                 4505                 4500     0.00714625671484 
                 4266                 1000      0.0235273084879 
                  469                  300       0.329143702247 
                  708                  200       0.116260959532 
                 1506                 1400       0.279431596448 
                  984                  250       0.089347404667 
                 5100                 1400      0.0223493792062 
                 1112                  100    0.000553490877393 
                 1845                 1300       0.345058349246 
                 3008                  800      0.0904380408373 
                 4285                  450    0.000162175814646 
                 2212                 1600       0.219596848047 
                 1033                  400       0.264749013613 
                  800                  600       0.400570547733 
                  818                  250       0.150716150551 
                 4415                 2400      0.0622301530864 
                 1716                 1600       0.229162393015 
                 3579                  800      0.0329807918947 
                 2130                 1800       0.212729690743 
                 2661                 1300       0.280944395197 
                 3795                 3500      0.0265682923412 
                 2399                 1400       0.246091600234 
                 1968                 1200       0.373134717248 
                  709                  450       0.383231381806 
                 2293                 1800        0.20780589425 
                  192                  150       0.193924670641 
                 2485                  550      0.0456570278341 
                 3117                  150    3.45023790392e-06 
                 1144                  900        0.42061369735 
                 1305                 1300       0.368934120564 
                 2494                  400     0.00611501511625 
                 1833                 1800       0.225290361843 
                 3625                 1500        0.14890461556 
                 4029                 3000      0.0408139221912 
                  926                  450       0.355431051578 
                  475                  450       0.366807966934 
                 3505                 3500      0.0301167591108 
                 1505                 1500       0.244015855783 
                 2121                  900       0.313458354648 
                 4005                 4000      0.0166907880566 
                 5100                 5000     0.00207655991573 
                 2516                  600      0.0637629740346 
                 1594                  800        0.38517616651 
                 1100                 1000        0.40258536365 
                 3693                 3000      0.0430699666827 
                  684                  250       0.213499471385 
                  195                  100       0.125844644385 
                  417                  300       0.325730533293 
                  805                  800       0.425007491325 
                 1692                 1500       0.230806269144 
                  417                  200       0.254032140063 
                 3611                  300     1.1719167469e-05 
                 3013                  450     0.00227902171431 
                 1671                 1000       0.408825641114 
                 1018                  800       0.419034091616 
                 4287                  250    3.57250107387e-08 
                 2591                 1200       0.300786455961 
                 4285                 1300      0.0781453881782 
                 4045                 4000      0.0157636614416 
                 3674                 1800       0.159851691796 
                  297                  250       0.282668328726 
                 3027                  300    7.26448044698e-05 
                 2568                  200    6.06766382998e-05 
