#                prod                 mint                mhscp              mrec000 
                  970                  965                  150      0.0210759993619 
                 1147                  216                  150      0.0272444506049 
                 2972                  105                  100    4.20477445121e-08 
                  598                  593                  100      0.0223195609214 
                 4475                  105                  100                  0.0 
                 1404                  383                  100      0.0335179200467 
                 2167                 2162                  150     0.00165851197485 
                  404                  399                  150       0.196954770152 
                 1147                  155                  150     0.00547959094183 
                 1644                  166                  100    0.000729010857866 
                 4475                  685                  100      0.0137789821129 
                  716                  711                  100      0.0132021079236 
                  688                  471                  150        0.12861567227 
                 3880                  775                  150       0.034015321034 
                 1404                 1399                  100     0.00117657858291 
                 1588                  228                  150     0.00694016888468 
                 3416                 1069                  100     0.00366101486661 
                 1195                  794                  100     0.00434103089195 
                 4475                  196                  100    1.68420710604e-05 
                  284                  279                  150       0.234427548613 
                  497                  492                  100      0.0373237582362 
                 2226                  483                  100      0.0237030893987 
                 3880                 1325                  150     0.00833079982077 
                  404                  249                  150       0.219706125298 
                  577                  572                  150       0.104131730585 
                 4475                 4470                  100    8.24805732012e-05 
                 2972                  183                  100     3.7333363302e-06 
                 1352                  655                  150      0.0580885850281 
                  818                  235                  150      0.0992075479178 
                  853                  599                  100      0.0164080008678 
                 5100                  205                  200                  0.0 
                 4454                 4449                  150    0.000153909520964 
                 5100                  105                  100                  0.0 
                  716                  376                  100      0.0587191903933 
                  240                  191                  150       0.205141793645 
                 2226                 2221                  100    0.000365305720306 
                 1195                  236                  100      0.0284634125131 
                 2226                 1336                  100    7.37497884398e-05 
                 3880                  265                  150    6.90005246949e-05 
                  483                  205                  150       0.192347325689 
                 2917                  412                  150      0.0164008296012 
                 1195                  157                  100     0.00518915457465 
                  577                  215                  150       0.163324201831 
                 3369                  722                  150      0.0377006376568 
                 1644                  105                  100    4.55813340772e-05 
                 1404                  249                  100      0.0210613466524 
                 1195                  530                  100       0.026256782682 
                 1012                  153                  100      0.0090972925848 
                 3916                 1171                  100     0.00273206774054 
                 2917                  672                  150      0.0418409826181 
                 2226                  105                  100    2.33422049056e-05 
                 3416                  105                  100    3.33337848082e-09 
                  716                  273                  100      0.0677120157457 
                 1917                  276                  100      0.0130876396476 
                 2972                 1700                  100    6.14681615629e-06 
                 2576                 2571                  100    0.000289614445575 
                  279                  105                  100       0.112948989444 
                 1917                  170                  100    0.000470090688087 
                  339                  250                  100       0.117004014325 
                  412                  105                  100      0.0629945194629 
                 1644                  262                  100      0.0169516700519 
                  203                  198                  150       0.207237175187 
                 5100                  731                  100      0.0121091201462 
                 1012                 1007                  100     0.00331845034898 
                 1012                  691                  100     0.00900400331476 
                 2518                  247                  150    0.000262073967247 
                 1404                  909                  100     0.00160257956791 
                  228                  185                  100       0.120931989259 
                  412                  290                  100       0.100138810329 
                 5100                 5095                  150    0.000349461732594 
                 1858                  155                  150    8.30199606948e-05 
                 5100                 1930                  100    2.53944007673e-05 
                 2167                  240                  150     0.00103619354952 
                 3916                  351                  100     0.00302291529716 
