#                prod                mhscp              mrec400 
                 1432                  250                  0.0 
                  607                  150                  0.0 
                 1605                 1600       0.420404364069 
                 3589                 3500       0.055344377045 
                 2082                  700       0.511553180129 
                 3086                 3000      0.0922253507789 
                 5100                 2600         0.1517636035 
                 3019                 1000       0.519788653349 
                 2564                 1000       0.563667385239 
                 2629                  150                  0.0 
                 4243                  900       0.300131206385 
                 1461                 1400       0.436502063371 
                  455                  450                  0.0 
                 4285                  450                  0.0 
                 3579                  800       0.341831847718 
                 2205                 2000       0.272676806873 
                  503                  150                  0.0 
                 2212                 1600       0.420860688947 
                 1468                 1200       0.507166672275 
                 1531                 1500       0.415606858245 
                 2046                  350                  0.0 
                 3538                  900       0.390885137644 
                 1337                 1100       0.490120394669 
                 1217                  500                  0.0 
                  274                  250                  0.0 
                 3978                 3500      0.0487446533089 
                 3003                  250                  0.0 
                 4262                  550                  0.0 
                 1571                 1400        0.43142123503 
                  905                  900       0.445309114143 
                 1631                 1600       0.413382234961 
                 2005                 2000       0.281396283928 
                 2972                  550                  0.0 
                  637                  500                  0.0 
                 3505                 3500      0.0560872012745 
                  494                  200                  0.0 
                 1473                 1300       0.467781762699 
                 2125                 1500       0.425678937852 
                 2692                 1500       0.440450845645 
                 2803                 1800       0.384130061034 
                 4602                 3500      0.0407373183764 
                 5100                 2400       0.164281706829 
                 1765                  300                  0.0 
                  852                  200                  0.0 
                  418                  150                  0.0 
                 4113                 4000      0.0278905590811 
                 2339                 2200       0.189049675604 
                 2138                 1400       0.459607263032 
                 2432                 2200       0.189795196593 
                  886                  150                  0.0 
                  449                  400                  0.0 
                 2730                 1400       0.464908929373 
                 5100                  450                  0.0 
                 1755                 1200       0.551500531743 
                 3577                  400                  0.0 
                 4366                  100                  0.0 
                 2565                 2200       0.184677142485 
                  880                  400                  0.0 
                 4487                 3000       0.081305235903 
                 3595                  450                  0.0 
                 3027                  300                  0.0 
                  205                  200                  0.0 
                 1968                 1200       0.570068479464 
                 5100                 1200       0.287241552097 
                 1659                 1400       0.428791334578 
                 5100                  900       0.197231342162 
                 2130                 1800       0.375117367474 
                 1685                 1300        0.49256356464 
                  588                  500                  0.0 
                 5100                  200                  0.0 
                 1716                 1600       0.402459622592 
                  751                  550                  0.0 
                 2453                 1600       0.432978714059 
                 2497                  900        0.53761114672 
                 3451                 3000      0.0862239915832 
                  324                  300                  0.0 
                 1583                  900       0.532389310101 
                 4417                 2600       0.132897268881 
                 3013                  450                  0.0 
                  576                  550                  0.0 
                 1033                  400                  0.0 
                 5100                  550                  0.0 
                 2116                  450                  0.0 
                 3674                 1800       0.363683589483 
                 1490                  200                  0.0 
                 1759                 1100        0.55580003668 
                 2921                 2400       0.139799959042 
                 1305                 1300       0.475981364401 
                  346                  100                  0.0 
                 1002                  900       0.434772414097 
                 5100                 4500     0.00741652133464 
                 4248                  700        0.19579594733 
                 4045                 4000      0.0284632932288 
                  218                  150                  0.0 
                  195                  100                  0.0 
                 4287                  250                  0.0 
                 4252                  500                  0.0 
                 2273                 1100       0.578443515926 
                 5100                 1500       0.285974634555 
                 2293                 1800       0.380608150174 
                  420                  250                  0.0 
                 1778                 1400       0.440143450771 
                 3103                 1500       0.429069062716 
                 3037                 3000      0.0930652203143 
                 3089                 1300       0.520143775618 
                 2534                 2400       0.144937883516 
                 1472                  300                  0.0 
                 2989                  400                  0.0 
                 3540                  700       0.281766643606 
                 1438                  500                  0.0 
                  947                  800       0.434737661875 
                 1791                  200                  0.0 
                 1062                  900       0.446273528578 
                 2748                 2400       0.137664265577 
                  660                  400                  0.0 
                  590                  200                  0.0 
                 5100                 1000       0.235873335803 
                 5100                  300                  0.0 
                 2679                 2000       0.272450433987 
                  626                  600                  0.0 
                  505                  500                  0.0 
                 1069                  150                  0.0 
                  708                  200                  0.0 
                 1844                  800       0.548304223713 
                  164                  100                  0.0 
                  984                  250                  0.0 
                 4266                 1000       0.330214864382 
                 1546                  150                  0.0 
                 1348                 1000       0.496482304199 
                  755                  700       0.406622480212 
                  899                  500                  0.0 
                 1241                 1000       0.480165692651 
                  800                  600                  0.0 
                  623                  300                  0.0 
                 1086                  550                  0.0 
                 1205                 1200       0.509034653302 
                 1700                  350                  0.0 
                 4270                  800       0.243655669533 
                 5100                  400                  0.0 
                 5100                 1800       0.309407568111 
                 3183                 1800       0.378932807425 
                 1306                  600                  0.0 
                 3541                  500                  0.0 
                 3062                  200                  0.0 
                  627                  100                  0.0 
                 3725                  100                  0.0 
                  235                  100                  0.0 
                 1113                  800       0.467948078375 
                 4266                  350                  0.0 
                 2947                  500                  0.0 
                  638                  550                  0.0 
                 1105                 1100       0.490767256026 
                 2516                  600                  0.0 
                 2433                 2400        0.14503647765 
                  417                  300                  0.0 
                 1563                 1300       0.478733805084 
                  684                  250                  0.0 
                  477                  350                  0.0 
                  377                  300                  0.0 
                 3897                 2600       0.126972101576 
                  309                  200                  0.0 
                 1871                 1800       0.377941968037 
                 1671                 1000       0.545755555326 
                 1112                  100                  0.0 
                 2012                 1800       0.373088238444 
                 1728                  250                  0.0 
                 4316                  200                  0.0 
                 1005                 1000       0.476080949712 
                 1429                 1400       0.435900611522 
                 2485                  550                  0.0 
                  575                  250                  0.0 
                 3621                 1100       0.461639892289 
                  432                  350                  0.0 
                  575                  450                  0.0 
                 3280                 3000      0.0902332577458 
                 1199                 1100       0.471499206233 
                 2156                  800        0.54107051384 
                 2464                  350                  0.0 
                 2405                 2400       0.147891814876 
                 1987                 1100       0.567988504088 
                 5100                 3500      0.0406122617573 
                  482                  400                  0.0 
                 1777                  450                  0.0 
                 3580                 1200       0.494810961541 
                 2953                 2000       0.272368412219 
                 1789                 1600       0.404133854346 
                 4227                 4000      0.0263704543115 
                 1496                  450                  0.0 
                 1262                 1200       0.489114671716 
                 3623                 1300       0.469231044738 
                 3560                  550                  0.0 
                  399                  350                  0.0 
                  605                  600                  0.0 
                 4276                  400                  0.0 
                 1805                 1800       0.388287706949 
                  612                  350                  0.0 
                 1237                  200                  0.0 
                 2081                  400                  0.0 
                  305                  300                  0.0 
                  357                  200                  0.0 
                  848                  700       0.423352039159 
                 4409                 4000      0.0234116456416 
                  958                  900       0.433447377823 
                 5100                 1100       0.260730337795 
                 2115                  300                  0.0 
                  761                  100                  0.0 
                  192                  150                  0.0 
                 1904                 1000       0.570886983691 
                  552                  500                  0.0 
                 2631                 1100       0.571666340322 
                  686                  550                  0.0 
                 4273                  600                  0.0 
                  788                  500                  0.0 
                  251                  150                  0.0 
                 2681                 2600       0.133628674409 
                 1028                 1000       0.465321701986 
                 1329                 1300       0.476331374897 
                 1665                 1600       0.411514013441 
                 5100                  150                  0.0 
                 2636                 2600       0.135498840995 
                  531                  450                  0.0 
                 1394                  800       0.515167429917 
                 1261                  550                  0.0 
                  105                  100                  0.0 
                 1909                  100                  0.0 
                 4029                 3000      0.0816194146501 
                 2605                 2600       0.135885215698 
                 2268                  100                  0.0 
                 1100                 1000       0.456794423889 
                 4307                 1600       0.378447696215 
                 1845                 1300        0.51806290472 
                 1566                 1500        0.41040908573 
                 1187                  250                  0.0 
                 4310                 1400       0.357151990133 
                 4303                 1800       0.358765195875 
                 1058                 1000       0.457061645439 
                 4342                  150                  0.0 
                  855                  800       0.422514956346 
                  893                  800       0.414023700714 
                 1928                 1800       0.377859563244 
                  355                  350                  0.0 
                  702                  500                  0.0 
                 5100                 1300       0.295672657351 
                 1522                  600                  0.0 
                  922                  100                  0.0 
                 2963                  900        0.49143594717 
                 1711                  500                  0.0 
                  602                  550                  0.0 
                 1157                 1100       0.480356301929 
                 2028                 1600       0.408052742965 
                 2210                  150                  0.0 
                  244                  200                  0.0 
                 2855                 2600        0.12951993176 
                 3005                 2600       0.125377756083 
                 4285                 1300       0.398170644585 
                 1128                 1100       0.482986931886 
                 4239                 3500      0.0440224192992 
                 1144                  900       0.470054778531 
                 1397                  900        0.51116088383 
                  988                  350                  0.0 
                  805                  800       0.431257851983 
                 1361                 1300       0.473114525193 
                  422                  100                  0.0 
                  836                  550                  0.0 
                  327                  250                  0.0 
                 1600                  100                  0.0 
                 5100                 5000     0.00390803582133 
                 3075                 1100       0.538059882025 
                  734                  150                  0.0 
