#CM EffMap for txName: T2bb , Analysis: atlas_1308_2631 , SR: SRA-mCT250
# Mother  Daughter  Eff. 
180.0   120.0   0.00000
600.0   60.0   0.02805
660.0   90.0   0.02945
420.0   180.0   0.00645
540.0   330.0   0.00664
480.0   330.0   0.00032
540.0   120.0   0.02359
480.0   300.0   0.00161
360.0   270.0   0.00002
120.0   1   0.00000
60.0   30.0   0.00000
360.0   1   0.00904
600.0   30.0   0.02795
660.0   210.0   0.02775
120.0   30.0   0.00000
420.0   1   0.01539
360.0   180.0   0.00057
540.0   210.0   0.01999
720.0   1   0.03264
600.0   300.0   0.01893
420.0   360.0   0.00002
720.0   30.0   0.03345
360.0   60.0   0.00800
480.0   90.0   0.02141
420.0   120.0   0.01190
240.0   120.0   0.00002
600.0   1   0.02775
540.0   180.0   0.02109
300.0   120.0   0.00020
420.0   300.0   0.00005
720.0   210.0   0.03035
180.0   90.0   0.00000
660.0   240.0   0.02867
420.0   240.0   0.00115
600.0   120.0   0.02882
720.0   120.0   0.02970
360.0   30.0   0.00825
600.0   240.0   0.02411
480.0   270.0   0.00512
660.0   60.0   0.03019
420.0   90.0   0.01425
300.0   270.0   0.00000
240.0   180.0   0.00000
360.0   210.0   0.00019
180.0   1   0.00000
660.0   150.0   0.02985
720.0   90.0   0.03209
30.0   1   0.00000
480.0   1   0.02208
480.0   210.0   0.01214
660.0   1   0.03060
540.0   240.0   0.01801
600.0   360.0   0.01128
360.0   120.0   0.00445
480.0   30.0   0.02184
420.0   270.0   0.00018
360.0   330.0   0.00000
480.0   180.0   0.01615
420.0   330.0   0.00000
480.0   60.0   0.02111
660.0   120.0   0.03076
300.0   1   0.00234
360.0   90.0   0.00610
720.0   360.0   0.02671
540.0   60.0   0.02624
660.0   180.0   0.03098
480.0   240.0   0.00922
660.0   270.0   0.02626
240.0   150.0   0.00002
600.0   210.0   0.02639
720.0   270.0   0.02970
660.0   300.0   0.02608
240.0   90.0   0.00002
420.0   150.0   0.00992
540.0   360.0   0.00228
360.0   240.0   0.00009
720.0   300.0   0.02935
600.0   270.0   0.02133
720.0   150.0   0.03139
600.0   150.0   0.02625
180.0   30.0   0.00000
420.0   60.0   0.01506
240.0   60.0   0.00008
360.0   300.0   0.00002
720.0   240.0   0.03048
540.0   270.0   0.01379
300.0   210.0   0.00002
360.0   150.0   0.00251
120.0   60.0   0.00000
240.0   210.0   0.00000
540.0   90.0   0.02564
540.0   150.0   0.02324
600.0   330.0   0.01512
600.0   180.0   0.02667
480.0   120.0   0.01896
720.0   330.0   0.02828
300.0   150.0   0.00013
300.0   240.0   0.00000
600.0   90.0   0.02828
540.0   30.0   0.02507
180.0   60.0   0.00001
300.0   90.0   0.00053
540.0   300.0   0.01040
660.0   360.0   0.02039
60.0   1   0.00000
300.0   60.0   0.00167
720.0   60.0   0.03176
480.0   150.0   0.01807
300.0   180.0   0.00007
420.0   210.0   0.00383
720.0   180.0   0.03115
240.0   30.0   0.00006
300.0   30.0   0.00195
240.0   1   0.00013
480.0   360.0   0.00005
420.0   30.0   0.01611
660.0   30.0   0.03030
540.0   1   0.02595
660.0   330.0   0.02369
120.0   90.0   0.00000
180.0   150.0   0.00000
