#MA5 EffMap for txName: TSlepSlep , Analysis: atlas_susy_2013_11 , SR: Zjets
# Mother  Daughter  Eff. 
160   30   0.0000118
280   20   0.0000497
260   180   0.0000189
280   30   0.0000245
230   40   0.0000299
330   190   0.0000558
340   0   0.0000061
330   80   0.0000376
240   70   0.0000059
270   190   0.0000120
180   60   0.0000171
180   20   0.0000291
280   80   0.0000250
290   60   0.0000426
330   50   0.0000437
140   0   0.0000176
290   160   0.0000378
170   70   0.0000114
350   150   0.0000061
240   30   0.0000369
160   130   0.0000000
160   70   0.0000123
200   10   0.0000363
230   190   0.0000000
200   160   0.0000000
200   80   0.0000121
260   90   0.0000438
340   70   0.0000256
250   140   0.0000426
230   110   0.0000304
190   70   0.0000173
320   110   0.0000314
240   100   0.0000311
230   20   0.0000059
340   130   0.0000316
140   30   0.0000283
250   80   0.0000183
260   160   0.0000254
100   30   0.0000053
220   160   0.0000058
180   30   0.0000062
340   160   0.0000194
220   50   0.0000122
220   110   0.0000477
130   20   0.0000220
160   60   0.0000358
260   10   0.0000474
250   180   0.0000242
280   40   0.0000060
290   180   0.0000257
220   20   0.0000561
330   70   0.0000188
220   180   0.0000000
200   0   0.0000242
270   20   0.0000553
320   130   0.0000309
220   190   0.0000000
210   150   0.0000116
170   50   0.0000351
180   0   0.0000177
280   190   0.0000490
130   60   0.0000055
290   170   0.0000246
320   160   0.0000440
250   170   0.0000183
330   120   0.0000381
210   20   0.0000000
170   10   0.0000000
350   170   0.0000529
110   80   0.0000054
180   90   0.0000114
200   50   0.0000300
240   150   0.0000123
340   150   0.0000582
280   180   0.0000300
210   170   0.0000000
320   120   0.0000199
190   110   0.0000000
350   100   0.0000189
230   100   0.0000187
190   150   0.0000000
330   10   0.0000371
200   120   0.0000121
100   10   0.0000000
100   50   0.0000058
220   30   0.0000239
140   40   0.0000111
220   130   0.0000371
280   170   0.0000180
180   50   0.0000125
240   140   0.0000236
230   30   0.0000251
220   70   0.0000414
210   70   0.0000000
290   0   0.0000245
350   110   0.0000317
280   60   0.0000120
350   160   0.0000190
120   10   0.0000059
340   20   0.0000128
280   90   0.0000446
130   90   0.0000000
290   20   0.0000503
220   120   0.0000122
240   20   0.0000118
240   160   0.0000305
330   100   0.0000188
150   70   0.0000061
250   100   0.0000301
270   10   0.0000254
260   140   0.0000421
280   100   0.0000251
250   30   0.0000248
210   50   0.0000306
180   130   0.0000000
290   150   0.0000311
270   120   0.0000380
280   160   0.0000425
340   110   0.0000244
280   70   0.0000496
240   10   0.0000246
200   130   0.0000000
330   0   0.0000383
340   40   0.0000510
150   110   0.0000056
190   140   0.0000000
210   120   0.0000185
220   60   0.0000293
320   40   0.0000248
230   120   0.0000118
140   50   0.0000000
160   0   0.0000113
120   90   0.0000055
350   0   0.0000189
320   30   0.0000314
330   130   0.0000310
240   80   0.0000241
350   140   0.0000195
290   50   0.0000241
130   30   0.0000110
140   20   0.0000055
130   40   0.0000060
290   10   0.0000311
270   160   0.0000125
330   180   0.0000376
290   190   0.0000507
290   130   0.0000376
210   30   0.0000364
260   120   0.0000428
260   40   0.0000356
210   180   0.0000000
190   30   0.0000063
280   10   0.0000495
200   40   0.0000058
350   130   0.0000317
250   190   0.0000000
350   10   0.0000067
130   10   0.0000120
160   20   0.0000281
140   110   0.0000000
230   10   0.0000245
170   80   0.0000000
190   100   0.0000172
200   90   0.0000058
250   120   0.0000366
270   0   0.0000190
220   150   0.0000000
290   120   0.0000262
280   0   0.0000502
330   20   0.0000188
240   180   0.0000247
220   90   0.0000239
230   70   0.0000181
260   150   0.0000362
120   40   0.0000000
140   60   0.0000237
160   110   0.0000062
240   110   0.0000301
340   80   0.0000128
330   60   0.0000249
180   40   0.0000229
170   120   0.0000000
210   90   0.0000238
260   130   0.0000178
250   10   0.0000437
130   0   0.0000175
100   0   0.0000111
240   130   0.0000236
330   110   0.0000250
260   0   0.0000255
190   80   0.0000057
140   100   0.0000055
150   80   0.0000117
320   70   0.0000248
110   30   0.0000059
150   10   0.0000117
330   90   0.0000321
150   90   0.0000000
150   100   0.0000173
140   70   0.0000056
260   100   0.0000119
250   0   0.0000243
280   50   0.0000435
170   60   0.0000119
210   10   0.0000121
230   0   0.0000298
210   0   0.0000306
110   60   0.0000000
210   110   0.0000296
340   170   0.0000373
320   100   0.0000264
230   180   0.0000000
210   140   0.0000000
250   150   0.0000307
340   60   0.0000261
150   30   0.0000167
120   80   0.0000109
290   80   0.0000432
240   170   0.0000182
200   60   0.0000063
320   60   0.0000061
230   170   0.0000059
160   120   0.0000000
230   160   0.0000117
190   160   0.0000000
270   140   0.0000184
290   30   0.0000371
270   80   0.0000434
260   20   0.0000368
320   50   0.0000182
120   50   0.0000000
160   90   0.0000000
330   150   0.0000446
170   130   0.0000000
330   40   0.0000305
340   50   0.0000249
280   130   0.0000299
240   50   0.0000000
190   120   0.0000063
270   110   0.0000249
270   100   0.0000358
130   80   0.0000055
270   30   0.0000489
140   10   0.0000171
320   80   0.0000248
260   30   0.0000119
340   190   0.0000260
280   140   0.0000180
210   130   0.0000295
170   90   0.0000175
240   120   0.0000059
180   140   0.0000000
240   90   0.0000424
180   150   0.0000000
160   10   0.0000062
120   20   0.0000217
200   150   0.0000058
170   0   0.0000237
250   110   0.0000495
110   50   0.0000054
200   170   0.0000000
270   150   0.0000369
190   50   0.0000178
100   60   0.0000000
330   30   0.0000066
100   40   0.0000000
230   150   0.0000123
230   90   0.0000117
110   70   0.0000000
340   90   0.0000184
170   110   0.0000113
320   140   0.0000374
270   90   0.0000303
190   0   0.0000235
120   30   0.0000059
120   60   0.0000000
250   50   0.0000184
280   110   0.0000190
350   120   0.0000378
260   80   0.0000249
120   0   0.0000168
230   60   0.0000059
160   80   0.0000118
210   100   0.0000121
160   50   0.0000113
250   40   0.0000302
170   30   0.0000119
220   40   0.0000249
