Path: /HepData/8542/d53-x1-y1
Efficiency for WZ-mediated simplified model using SR0taua bin 16
Location: Auxiliary Figure 5B
RE : P P --> CHARGINO1+ NEUTRALINO2 X
RE : P P --> CHARGINO1- NEUTRALINO2 X
SQRT(S) : 8000.0 GeV
x : M(CHARGINO1) IN GEV
x2: M(NEUTRALINO1) IN GEV
y : Efficiency IN PCT
xdesc	x	xlow	xhigh	x2desc	x2	x2low	x2high	y	
	100.0	100.0	100.0		0.0	0.0	0.0	185.960737
	150.0	150.0	150.0		0.0	0.0	0.0	64.9707086
	150.0	150.0	150.0		50.0	50.0	50.0	62.157184
	150.0	150.0	150.0		100.0	100.0	100.0	118.00014
	200.0	200.0	200.0		0.0	0.0	0.0	53.6516874
	200.0	200.0	200.0		50.0	50.0	50.0	59.2690683
	200.0	200.0	200.0		100.0	100.0	100.0	54.5689137
	200.0	200.0	200.0		150.0	150.0	150.0	123.233638
	250.0	250.0	250.0		0.0	0.0	0.0	54.9238452
	250.0	250.0	250.0		50.0	50.0	50.0	56.3180665
	250.0	250.0	250.0		100.0	100.0	100.0	55.6774907
	250.0	250.0	250.0		150.0	150.0	150.0	55.5061189
	250.0	250.0	250.0		200.0	200.0	200.0	39.1535696
	300.0	300.0	300.0		0.0	0.0	0.0	56.4841074
	300.0	300.0	300.0		50.0	50.0	50.0	55.5716963
	300.0	300.0	300.0		100.0	100.0	100.0	55.4218359
	300.0	300.0	300.0		150.0	150.0	150.0	57.4759226
	300.0	300.0	300.0		200.0	200.0	200.0	60.0398188
	350.0	350.0	350.0		0.0	0.0	0.0	55.0572893
	350.0	350.0	350.0		50.0	50.0	50.0	53.0250475
	350.0	350.0	350.0		100.0	100.0	100.0	53.3834482
	350.0	350.0	350.0		150.0	150.0	150.0	53.7419801
	350.0	350.0	350.0		200.0	200.0	200.0	55.803839
	400.0	400.0	400.0		0.0	0.0	0.0	55.4433017
	400.0	400.0	400.0		50.0	50.0	50.0	56.191103
	400.0	400.0	400.0		100.0	100.0	100.0	54.8019668
	400.0	400.0	400.0		150.0	150.0	150.0	54.2127036
	125.0	125.0	125.0		0.0	0.0	0.0	57.6869259
	175.0	175.0	175.0		0.0	0.0	0.0	66.8018903
	100.0	100.0	100.0		25.0	25.0	25.0	109.279327
	125.0	125.0	125.0		25.0	25.0	25.0	69.3123328
	150.0	150.0	150.0		25.0	25.0	25.0	70.1695636
	175.0	175.0	175.0		25.0	25.0	25.0	68.4283916
	200.0	200.0	200.0		25.0	25.0	25.0	59.3122384
	150.0	150.0	150.0		37.5	37.5	37.5	67.5892593
	112.5	112.5	112.5		50.0	50.0	50.0	34.2423923
	125.0	125.0	125.0		50.0	50.0	50.0	21.1907326
	137.5	137.5	137.5		50.0	50.0	50.0	38.8749203
	162.5	162.5	162.5		50.0	50.0	50.0	79.3468132
	175.0	175.0	175.0		50.0	50.0	50.0	61.8833351
	187.5	187.5	187.5		50.0	50.0	50.0	56.4145814
	150.0	150.0	150.0		62.5	62.5	62.5	42.1294463
	150.0	150.0	150.0		75.0	75.0	75.0	44.388748
	175.0	175.0	175.0		75.0	75.0	75.0	61.6930496
	200.0	200.0	200.0		75.0	75.0	75.0	58.9845384
	125.0	125.0	125.0		100.0	100.0	100.0	25.2278967
	175.0	175.0	175.0		100.0	100.0	100.0	90.2294327
	175.0	175.0	175.0		125.0	125.0	125.0	32.4844895
	175.0	175.0	175.0		150.0	150.0	150.0	47.2356502
	200.0	200.0	200.0		125.0	125.0	125.0	49.4423455

