#MA5 EffMap for txName: T2bb , Analysis: atlas_sus_13_05 , SR: SRA-mCT250
# Mother  Daughter  Eff. 
750   500   0.0173896
650   200   0.0350736
375   300   0.0000000
700   250   0.0373091
350   175   0.0007409
700   675   0.0000000
525   450   0.0000269
625   200   0.0331775
450   50   0.0237416
600   175   0.0315073
550   175   0.0272087
575   550   0.0000273
575   375   0.0058143
700   375   0.0290584
625   350   0.0207611
700   475   0.0129357
600   400   0.0069045
300   75   0.0016485
400   375   0.0000252
100   75   0.0000000
700   625   0.0000557
400   325   0.0000255
625   50   0.0374565
450   400   0.0000000
200   75   0.0000206
300   25   0.0030498
650   100   0.0392842
625   550   0.0001101
600   100   0.0365124
750   650   0.0001113
750   300   0.0396404
600   250   0.0276939
300   250   0.0000235
575   425   0.0005195
625   600   0.0000277
575   50   0.0353603
300   150   0.0000471
500   475   0.0000000
375   350   0.0000000
550   375   0.0025641
600   575   0.0000274
500   375   0.0001335
600   300   0.0231629
450   1   0.0247962
575   1   0.0351509
200   100   0.0000204
250   150   0.0000000
150   125   0.0000000
650   575   0.0000553
700   1   0.0420668
650   300   0.0299774
150   1   0.0000000
700   175   0.0391221
550   500   0.0000000
400   175   0.0055125
525   250   0.0157375
250   225   0.0000000
625   450   0.0029297
550   100   0.0309775
700   75   0.0410480
200   175   0.0000000
600   1   0.0343840
575   475   0.0001092
300   1   0.0030958
550   425   0.0001625
250   50   0.0001996
375   1   0.0136036
200   1   0.0000000
750   400   0.0311888
400   250   0.0003311
550   325   0.0095192
625   150   0.0349797
450   425   0.0000000
650   1   0.0404853
625   1   0.0363687
400   1   0.0174919
600   500   0.0001103
525   75   0.0283260
100   1   0.0000000
350   250   0.0000246
300   200   0.0000471
550   525   0.0000000
350   300   0.0000000
150   50   0.0000000
350   1   0.0095976
