#MA5 EffMap for txName: T2bb , Analysis: atlas_sus_13_05 , SR: SRB
# Mother  Daughter  Eff. 
750   500   0.0059454
650   200   0.0047060
375   300   0.0018129
700   250   0.0055087
350   175   0.0024201
700   675   0.0002229
525   450   0.0031205
625   200   0.0047317
450   50   0.0036385
600   175   0.0052512
550   175   0.0052846
575   550   0.0001913
575   375   0.0043607
700   375   0.0046661
625   350   0.0043229
700   475   0.0050352
600   400   0.0041646
300   75   0.0014837
400   375   0.0003282
100   75   0.0000306
700   625   0.0032333
400   325   0.0016576
625   50   0.0050273
450   400   0.0009999
200   75   0.0003905
300   25   0.0018441
650   100   0.0049660
625   550   0.0029463
600   100   0.0052909
750   650   0.0044240
750   300   0.0060577
600   250   0.0044464
300   250   0.0005874
575   425   0.0042653
625   600   0.0002497
575   50   0.0052153
300   150   0.0019776
500   475   0.0003751
375   350   0.0002497
550   375   0.0039553
600   575   0.0003831
500   375   0.0034438
600   300   0.0048199
450   1   0.0048229
575   1   0.0052945
200   100   0.0003878
250   150   0.0010830
150   125   0.0000907
650   575   0.0030393
700   1   0.0052479
650   300   0.0049595
150   1   0.0001818
700   175   0.0055849
550   500   0.0014205
400   175   0.0032516
525   250   0.0044429
250   225   0.0001331
625   450   0.0046547
550   100   0.0048199
700   75   0.0045239
200   175   0.0000408
600   1   0.0052940
575   475   0.0036579
300   1   0.0020324
550   425   0.0040896
250   50   0.0008870
375   1   0.0034695
200   1   0.0005715
750   400   0.0054594
400   250   0.0027762
550   325   0.0041494
625   150   0.0056321
450   425   0.0003654
650   1   0.0048694
625   1   0.0046082
400   1   0.0037211
600   500   0.0043567
525   75   0.0045941
100   1   0.0000306
350   250   0.0017994
300   200   0.0013649
550   525   0.0002436
350   300   0.0007885
150   50   0.0001096
350   1   0.0028127
