#            mhscp              width               c000               c100               c200               c300
     4.5000000e+01      0.0000000e+00      1.2828787e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      1.0000000e-22      1.2828782e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      1.0000000e-20      1.2828244e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      1.0000000e-19      1.2823354e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      5.0000000e-19      1.2801642e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      1.0000000e-18      1.2774555e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      1.8000000e-18      1.2731337e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      3.2000000e-18      1.2656060e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      5.6000000e-18      1.2528060e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      1.0000000e-17      1.2296785e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      1.5000000e-17      1.2039211e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      2.2000000e-17      1.1687748e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      3.2000000e-17      1.1203584e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      4.6000000e-17      1.0559634e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      6.8000000e-17      9.6224706e-09      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      1.0000000e-16      8.4073037e-09      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      1.5000000e-16      6.8113708e-09      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      2.2000000e-16      5.0772123e-09      0.0000000e+00      0.0000000e+00      0.0000000e+00
