#            mhscp              width               c200
     4.5000000e+01      0.0000000e+00      0.0000000e+00
     5.0000000e+01      0.0000000e+00      0.0000000e+00
     5.5000000e+01      0.0000000e+00      0.0000000e+00
     6.0000000e+01      0.0000000e+00      0.0000000e+00
     6.5000000e+01      0.0000000e+00      0.0000000e+00
     7.5000000e+01      0.0000000e+00      0.0000000e+00
     8.0000000e+01      0.0000000e+00      0.0000000e+00
     1.0000000e+02      0.0000000e+00      0.0000000e+00
     1.2500000e+02      0.0000000e+00      0.0000000e+00
     1.5000000e+02      0.0000000e+00      0.0000000e+00
     1.7500000e+02      0.0000000e+00      0.0000000e+00
     2.0000000e+02      0.0000000e+00      0.0000000e+00
     2.2500000e+02      0.0000000e+00      0.0000000e+00
     2.5000000e+02      0.0000000e+00      0.0000000e+00
     2.7500000e+02      0.0000000e+00      0.0000000e+00
     3.0000000e+02      0.0000000e+00      0.0000000e+00
     3.2500000e+02      0.0000000e+00      0.0000000e+00
     3.5000000e+02      0.0000000e+00      3.2246172e-01
     3.7500000e+02      0.0000000e+00      3.3961775e-01
     4.0000000e+02      0.0000000e+00      3.5476233e-01
     4.2500000e+02      0.0000000e+00      3.7103648e-01
     4.5000000e+02      0.0000000e+00      3.8262124e-01
     4.7500000e+02      0.0000000e+00      3.9483283e-01
     5.0000000e+02      0.0000000e+00      4.0394088e-01
     5.5000000e+02      0.0000000e+00      4.1837230e-01
     6.0000000e+02      0.0000000e+00      4.3136480e-01
     6.5000000e+02      0.0000000e+00      4.3633011e-01
     7.0000000e+02      0.0000000e+00      4.3846399e-01
     7.5000000e+02      0.0000000e+00      4.3629368e-01
     8.0000000e+02      0.0000000e+00      4.2945686e-01
     8.5000000e+02      0.0000000e+00      4.1675601e-01
     9.0000000e+02      0.0000000e+00      4.0204696e-01
     9.5000000e+02      0.0000000e+00      3.8171408e-01
     1.0000000e+03      0.0000000e+00      3.6058576e-01
     1.1000000e+03      0.0000000e+00      3.1836340e-01
     1.2000000e+03      0.0000000e+00      2.8012256e-01
     1.3000000e+03      0.0000000e+00      2.2914568e-01
     1.4000000e+03      0.0000000e+00      1.5051443e-01
     1.5000000e+03      0.0000000e+00      1.1089710e-01
     1.6000000e+03      0.0000000e+00      9.9322087e-02
     1.7000000e+03      0.0000000e+00      8.9251767e-02
     1.8000000e+03      0.0000000e+00      6.5222756e-02
     1.9000000e+03      0.0000000e+00      3.6501951e-02
     2.0000000e+03      0.0000000e+00      1.7401973e-02
     2.1000000e+03      0.0000000e+00      8.8676177e-03
     2.2000000e+03      0.0000000e+00      5.9053082e-03
     2.3000000e+03      0.0000000e+00      5.1767457e-03
     2.4000000e+03      0.0000000e+00      4.6910581e-03
     2.5000000e+03      0.0000000e+00      4.2378898e-03
     2.6000000e+03      0.0000000e+00      3.6959879e-03
     2.8000000e+03      0.0000000e+00      2.3285452e-03
     3.0000000e+03      0.0000000e+00      7.1999979e-04
     3.5000000e+03      0.0000000e+00      0.0000000e+00
