# lambdaL33 = 0.875, lambdaR23 = 0.375, mLQ = 1250.00
#  mchi1 (GeV), mchi1-mchi0 (GeV)
4.000000000000000000e+02,6.524998771068600156e+00
4.234683606386327028e+02,6.530632787227345304e+00
4.500000000000000000e+02,6.938635647834638043e+00
4.565863178823572071e+02,7.000000000000000000e+00
4.949116396626087635e+02,7.101767206747824801e+00
5.000000000000000000e+02,7.202773549310691692e+00
5.189286530253668843e+02,7.378573060507337189e+00
5.500000000000000000e+02,7.479731915069360859e+00
5.731385177632494106e+02,7.537229644735012002e+00
5.966162733737373856e+02,8.000000000000000000e+00
6.000000000000000000e+02,8.047855153785494764e+00
6.312654052119116841e+02,8.374691895761767313e+00
6.470068528108625969e+02,9.000000000000000000e+00
6.500000000000000000e+02,9.030103357153098642e+00
6.531333270703304379e+02,9.062666541406606768e+00
7.000000000000000000e+02,9.187314240012080191e+00
7.220785166566629414e+02,9.441570333133260107e+00
7.500000000000001137e+02,9.694871609686227742e+00
7.636100234794525932e+02,9.727799530410948137e+00
7.823943936262060106e+02,1.000000000000000000e+01
8.000000000000000000e+02,1.089291201942900855e+01
8.345393552296991402e+02,1.154606447703007532e+01
8.500000000000000000e+02,1.308365406028617528e+01
8.580408839498551288e+02,1.500000000000000000e+01
8.571812624143828998e+02,1.928187375856170860e+01
8.571812624143828998e+02,2.000000000000000000e+01
8.794185798542791872e+02,2.294185798542790877e+01
8.742800324000822911e+02,2.500000000000000000e+01
8.922932221132308541e+02,2.885338894338457294e+01
9.000000000000000000e+02,3.332632491357033189e+01
9.335606270268965545e+02,5.000000000000000000e+01
9.500000000000000000e+02,5.816066701745887713e+01
9.698627445440512247e+02,6.506862772797438765e+01
9.934618694168159436e+02,7.500000000000000000e+01
1.000000000000000000e+03,8.223250279015928754e+01
1.015443107169753375e+03,1.000000000000000000e+02
1.030653887245160377e+03,1.193461127548396519e+02
1.050000000000000000e+03,1.306779982676789871e+02
1.066138516664036160e+03,1.500000000000000000e+02
1.076236254583301616e+03,1.737637454166983559e+02
1.094033413258610153e+03,2.000000000000000000e+02
1.100000000000000000e+03,2.144789760763773643e+02
