#          mC1_GeV            mN1_GeV          width_GeV                eff
     9.0678000e+01      9.0505000e+01      6.5820000e-14      4.2452000e-07
     9.0678000e+01      9.0505000e+01      4.3880000e-14      2.3563000e-06
     9.0678000e+01      9.0505000e+01      3.2910000e-14      7.2902000e-06
     9.0678000e+01      9.0505000e+01      2.6328000e-14      1.6734000e-05
     9.0678000e+01      9.0505000e+01      2.1940000e-14      2.9615000e-05
     9.0678000e+01      9.0505000e+01      1.6455000e-14      6.7929000e-05
     9.0678000e+01      9.0505000e+01      1.3164000e-14      1.2223000e-04
     9.0678000e+01      9.0505000e+01      1.0970000e-14      1.8293000e-04
     9.0678000e+01      9.0505000e+01      9.4028571e-15      2.5217000e-04
     9.0678000e+01      9.0505000e+01      8.2275000e-15      3.2027000e-04
     9.0678000e+01      9.0505000e+01      7.3133333e-15      3.8525000e-04
     9.0678000e+01      9.0505000e+01      6.5820000e-15      4.4942000e-04
     9.0678000e+01      9.0505000e+01      4.3880000e-15      7.0716000e-04
     9.0678000e+01      9.0505000e+01      3.2910000e-15      8.5758000e-04
     9.0678000e+01      9.0505000e+01      2.6328000e-15      9.3581000e-04
     9.0678000e+01      9.0505000e+01      2.1940000e-15      9.6990000e-04
     9.0678000e+01      9.0505000e+01      1.6455000e-15      9.6392000e-04
     9.0678000e+01      9.0505000e+01      1.3164000e-15      9.2156000e-04
     9.0678000e+01      9.0505000e+01      1.0970000e-15      8.6799000e-04
     9.0678000e+01      9.0505000e+01      9.4028571e-16      8.1021000e-04
     9.0678000e+01      9.0505000e+01      8.2275000e-16      7.5822000e-04
     9.0678000e+01      9.0505000e+01      7.3133333e-16      7.1181000e-04
     9.0678000e+01      9.0505000e+01      6.5820000e-16      6.7043000e-04
     9.0678000e+01      9.0505000e+01      4.3880000e-16      5.0527000e-04
     9.0678000e+01      9.0505000e+01      3.2910000e-16      4.0578000e-04
     9.0678000e+01      9.0505000e+01      2.6328000e-16      3.3581000e-04
     9.0678000e+01      9.0505000e+01      2.1940000e-16      2.8801000e-04
     9.0678000e+01      9.0505000e+01      1.6455000e-16      2.2508000e-04
     9.0678000e+01      9.0505000e+01      1.3164000e-16      1.8262000e-04
     9.0678000e+01      9.0505000e+01      1.0970000e-16      1.5462000e-04
     9.0678000e+01      9.0505000e+01      9.4028571e-17      1.3443000e-04
     9.0678000e+01      9.0505000e+01      8.2275000e-17      1.1743000e-04
     9.0678000e+01      9.0505000e+01      7.3133333e-17      1.0503000e-04
     9.0678000e+01      9.0505000e+01      6.5820000e-17      9.5936000e-05
     1.9971600e+02      1.9954400e+02      6.5820000e-14      2.8325000e-08
     1.9971600e+02      1.9954400e+02      4.3880000e-14      3.6155000e-07
     1.9971600e+02      1.9954400e+02      3.2910000e-14      1.9395000e-06
     1.9971600e+02      1.9954400e+02      2.6328000e-14      5.6377000e-06
     1.9971600e+02      1.9954400e+02      2.1940000e-14      1.3031000e-05
     1.9971600e+02      1.9954400e+02      1.6455000e-14      4.0720000e-05
     1.9971600e+02      1.9954400e+02      1.3164000e-14      8.6838000e-05
     1.9971600e+02      1.9954400e+02      1.0970000e-14      1.5246000e-04
     1.9971600e+02      1.9954400e+02      9.4028571e-15      2.3329000e-04
     1.9971600e+02      1.9954400e+02      8.2275000e-15      3.2691000e-04
     1.9971600e+02      1.9954400e+02      7.3133333e-15      4.2697000e-04
     1.9971600e+02      1.9954400e+02      6.5820000e-15      5.3374000e-04
     1.9971600e+02      1.9954400e+02      4.3880000e-15      1.0870000e-03
     1.9971600e+02      1.9954400e+02      3.2910000e-15      1.5677000e-03
     1.9971600e+02      1.9954400e+02      2.6328000e-15      1.9465000e-03
     1.9971600e+02      1.9954400e+02      2.1940000e-15      2.2181000e-03
     1.9971600e+02      1.9954400e+02      1.6455000e-15      2.5538000e-03
     1.9971600e+02      1.9954400e+02      1.3164000e-15      2.6989000e-03
     1.9971600e+02      1.9954400e+02      1.0970000e-15      2.7296000e-03
     1.9971600e+02      1.9954400e+02      9.4028571e-16      2.7169000e-03
     1.9971600e+02      1.9954400e+02      8.2275000e-16      2.6547000e-03
     1.9971600e+02      1.9954400e+02      7.3133333e-16      2.5765000e-03
     1.9971600e+02      1.9954400e+02      6.5820000e-16      2.4958000e-03
     1.9971600e+02      1.9954400e+02      4.3880000e-16      2.0856000e-03
     1.9971600e+02      1.9954400e+02      3.2910000e-16      1.7641000e-03
     1.9971600e+02      1.9954400e+02      2.6328000e-16      1.5145000e-03
     1.9971600e+02      1.9954400e+02      2.1940000e-16      1.3292000e-03
