#: table_doi: 10.17182/hepdata.86565.v1/t28
#: name: Table 27
#: description: Resolution and average of reconstructed dE/dx mass for a given simulated mass for ID+calo candidates.
#: data_file: data27.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO | P P --> SQUARK+ SQUARK- | P P --> STAU+ STAU- | P P --> CHI+ CHI-
#: keyword observables: M
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY | LLP
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],,,13000.0
TRUE MASS [GEV],TRUE MASS [GEV] LOW,TRUE MASS [GEV] HIGH,RECO MASS [GEV],error +,error -
400.0,300.0,500.0,400.054,53.204,-53.204
600.0,500.0,700.0,591.599,84.800,-84.800
800.0,700.0,900.0,770.081,138.069,-138.069
1000.0,900.0,1100.0,966.361,209.387,-209.387
1200.0,1100.0,1300.0,1118.792,271.300,-271.300
1400.0,1300.0,1500.0,1353.599,321.547,-321.547
1600.0,1500.0,1700.0,1426.705,370.121,-370.121
1800.0,1700.0,1900.0,1609.370,460.281,-460.281
2000.0,1900.0,2100.0,1804.740,572.735,-572.735
2200.0,2100.0,2300.0,1887.327,561.182,-561.182
2400.0,2300.0,2500.0,1948.983,664.331,-664.331
2600.0,2500.0,2700.0,2082.783,664.526,-664.526
2800.0,2700.0,2900.0,2117.286,749.353,-749.353
3000.0,2900.0,3100.0,2194.431,756.991,-756.991

