#Data digitized from
#http://cms-results.web.cern.ch/cms-results/public-results/publications/SUS-19-009/CMS-SUS-19-009_Figure_007.pdf
#using PDFLimitReader
# stop mass (GeV)     LSP mass (GeV)
     5.9738976e+02     5.5806262e+02
     6.0535728e+02     5.6436483e+02
     6.1421253e+02     5.7066704e+02
     6.3281077e+02     5.7696925e+02
     6.4963354e+02     5.8327147e+02
     6.7354240e+02     5.9745079e+02
     6.8682686e+02     6.0060058e+02
     6.9833900e+02     6.0847769e+02
     7.0630652e+02     6.1163011e+02
     7.2401702e+02     6.2423190e+02
     7.4615673e+02     6.3368654e+02
     7.6652412e+02     6.4629096e+02
     7.7449164e+02     6.5101565e+02
     7.8423463e+02     6.5731786e+02
     8.2142479e+02     6.7149718e+02
     8.5153201e+02     6.7307208e+02
     8.8783759e+02     6.7937429e+02
     9.2857238e+02     6.9985582e+02
     9.4539831e+02     7.0615804e+02
     9.7461780e+02     7.0931046e+02
     9.9764208e+02     7.0300824e+02
     1.0215509e+03     6.9040382e+02
     1.0463475e+03     6.7779939e+02
     1.0543151e+03     6.7149718e+02
     1.0649426e+03     6.5731786e+02
     1.0959344e+03     6.1163011e+02
     1.1047897e+03     5.9587589e+02
     1.1127604e+03     5.7696925e+02
     1.1251571e+03     5.2812908e+02
     1.1366692e+03     4.9031844e+02
     1.1455245e+03     4.6038227e+02
     1.1499505e+03     4.2414652e+02
     1.1570366e+03     3.8160856e+02
     1.1615385e+03     3.3907060e+02
     1.1643723e+03     2.9968243e+02
     1.1660119e+03     2.5399467e+02
     1.1667575e+03     2.2248624e+02
     1.1667764e+03     2.0357960e+02
     1.1666090e+03     1.7049364e+02
     1.1655665e+03     1.2795568e+02
     1.1636267e+03     6.7118431e+01
     1.1615385e+03     3.9728653e+01
     1.1576621e+03     2.2398489e+01
     1.1522915e+03     1.2800827e+01
     1.1424474e+03     6.2564642e+00
     1.1384415e+03     3.4179708e-01
