#            mprod              mhscp              width               c300
     5.5000000e+01      5.0000000e+01      0.0000000e+00      0.0000000e+00
     1.3000000e+03      1.2000000e+03      0.0000000e+00      4.3255124e-01
     1.3000000e+03      1.2000000e+03      1.0000000e-18      4.0676941e-01
     1.3000000e+03      1.2000000e+03      5.6000000e-18      3.0681796e-01
     1.3000000e+03      1.2000000e+03      3.2000000e-17      6.3170492e-02
     1.3000000e+03      1.2000000e+03      4.6000000e-17      2.8391918e-02
     1.3000000e+03      1.2000000e+03      6.8000000e-17      8.5852818e-03
     1.3000000e+03      1.2000000e+03      1.0000000e-16      1.7023042e-03
     1.3000000e+03      1.2000000e+03      1.5000000e-16      1.7080415e-04
     1.3000000e+03      1.2000000e+03      2.2000000e-16      9.4380785e-06
     1.3000000e+03      1.2000000e+03      3.2000000e-16      2.2551334e-07
     1.3000000e+03      1.2000000e+03      4.6000000e-16      1.9295636e-09
     5.5000000e+01      5.0000000e+01      1.0000000e+06      0.0000000e+00
     6.0000000e+01      5.0000000e+01      0.0000000e+00      0.0000000e+00
     1.3000000e+03      1.2000000e+03      1.0000000e+06      0.0000000e+00
     1.3500000e+03      1.2000000e+03      0.0000000e+00      4.2729168e-01
     1.3500000e+03      1.2000000e+03      1.0000000e-18      4.0143451e-01
     1.3500000e+03      1.2000000e+03      5.6000000e-18      3.0167519e-01
     1.3500000e+03      1.2000000e+03      3.2000000e-17      6.1499576e-02
     1.3500000e+03      1.2000000e+03      4.6000000e-17      2.7580975e-02
     1.3500000e+03      1.2000000e+03      6.8000000e-17      8.3265577e-03
     1.3500000e+03      1.2000000e+03      1.0000000e-16      1.6508068e-03
     1.3500000e+03      1.2000000e+03      1.5000000e-16      1.6589223e-04
     1.3500000e+03      1.2000000e+03      2.2000000e-16      9.1721538e-06
     1.3500000e+03      1.2000000e+03      3.2000000e-16      2.1798369e-07
     1.3500000e+03      1.2000000e+03      4.6000000e-16      1.8264967e-09
     6.0000000e+01      5.0000000e+01      1.0000000e+06      0.0000000e+00
     7.0000000e+01      5.0000000e+01      0.0000000e+00      0.0000000e+00
